Working Directory: `C:\Users\Sami\Desktop\SRT\Code\Translation_to_keyboard_code`
Log File `./LogFiles/Log20200210_1156.txt` opened OK.
CSV File `./LogFiles/Log20200210_1156.csv` opened OK.
20200210_115630,1.505025,Information,3,1,1,0,In MC Loop, Realsense, Idx=43, Coord=[17.540783, 9.724619, 19.100002], FinalFingerPos=[-26.100002, 22.620783, -8.224619], Midi=[None]
20200210_115630,1.505041,Information,3,1,1,0,In MC Loop, Realsense, Idx=44, Coord=[17.629044, 9.724619, 19.100002], FinalFingerPos=[-26.100002, 22.709044, -8.224619], Midi=[None]
20200210_115630,1.505057,Information,3,1,1,0,In MC Loop, Realsense, Idx=45, Coord=[17.717306, 9.724619, 19.100002], FinalFingerPos=[-26.100002, 22.797306, -8.224619], Midi=[None]
20200210_115630,1.505072,Information,3,1,1,0,In MC Loop, Realsense, Idx=46, Coord=[17.011208, 9.812881, 19.100002], FinalFingerPos=[-26.100002, 22.091208, -8.312881], Midi=[None]
20200210_115630,1.505088,Information,3,1,1,0,In MC Loop, Realsense, Idx=47, Coord=[17.188995, 9.864257, 19.200001], FinalFingerPos=[-26.200001, 22.268995, -8.364257], Midi=[None]
20200210_115630,1.505103,Information,3,1,1,0,In MC Loop, Realsense, Idx=48, Coord=[17.277719, 9.864257, 19.200001], FinalFingerPos=[-26.200001, 22.357719, -8.364257], Midi=[None]
20200210_115630,1.505119,Information,3,1,1,0,In MC Loop, Realsense, Idx=49, Coord=[17.275995, 9.812881, 19.100002], FinalFingerPos=[-26.100002, 22.355995, -8.312881], Midi=[None]
20200210_115630,1.505135,Information,3,1,1,0,In MC Loop, Realsense, Idx=50, Coord=[17.452518, 9.812881, 19.100002], FinalFingerPos=[-26.100002, 22.532518, -8.312881], Midi=[None]
20200210_115630,1.505150,Information,3,1,1,0,In MC Loop, Realsense, Idx=51, Coord=[17.536745, 9.761505, 19.000002], FinalFingerPos=[-26.000002, 22.616745, -8.261505], Midi=[None]
20200210_115630,1.505166,Information,3,1,1,0,In MC Loop, Realsense, Idx=52, Coord=[17.624546, 9.761505, 19.000002], FinalFingerPos=[-26.000002, 22.704546, -8.261505], Midi=[None]
20200210_115630,1.505181,Information,3,1,1,0,In MC Loop, Realsense, Idx=53, Coord=[17.619123, 9.710128, 18.900002], FinalFingerPos=[-25.900002, 22.699123, -8.210128], Midi=[None]
20200210_115630,1.505197,Information,3,1,1,0,In MC Loop, Realsense, Idx=54, Coord=[17.097744, 9.937104, 19.000002], FinalFingerPos=[-26.000002, 22.177744, -8.437104], Midi=[None]
20200210_115630,1.505213,Information,3,1,1,0,In MC Loop, Realsense, Idx=55, Coord=[-361.547974, 229.916550, 424.600037], FinalFingerPos=[-431.600037, -356.467974, -228.416550], Midi=[None]
20200210_115630,1.505229,Information,3,1,1,0,In MC Loop, Realsense, Idx=56, Coord=[-366.360901, 234.248474, 432.600037], FinalFingerPos=[-439.600037, -361.280901, -232.748474], Midi=[None]
20200210_115630,1.505245,Information,3,1,1,0,In MC Loop, Realsense, Idx=57, Coord=[-373.710907, 240.259003, 443.700012], FinalFingerPos=[-450.700012, -368.630907, -238.759003], Midi=[None]
